functionName,relativeFile,role,primaryInput,outputContract,integerRounding,symmetryConstraint
read_config/parse_phase2_2_controls,Source Code/1.Input/read_config.m,configuration producer,"PARA13 named controls",explicit controls or legacy defaults,positive integer validation,theta controls multiple of four
build_bmf_domain,Source Code/2.Mesh/build_bmf_domain.m,domain orchestrator,"validated cfg/body mesh",body/FS/bottom/wall merged domain,none,active truncation limited to full-domain single body
extract_waterline,Source Code/2.Mesh/extract_waterline.m,body-waterline producer,"body vertices/normals/z_tol",ordered CCW closed ring with body node count,none,open/closed waterline follows ISX/ISY
generate_free_surface_bmf,Source Code/2.Mesh/generate_free_surface_bmf.m,FS base polar producer,"waterline nodes,nr_near,nr_sponge,Rinner,Rout,sponge_ratio",equal-count radial quad rings; inner ring exactly body waterline,nr counts exact; no theta change in base producer,n_theta equals waterline nodes
get_phase2_2_bottom_mesh_inputs,Source Code/2.Mesh/get_phase2_2_bottom_mesh_inputs.m,bottom control adapter,"bottomRadialCounts,FS reference",independent bottom radial cfg/reference FS,counts copied exactly,inherits cfg symmetry
generate_seabed_mesh,Source Code/2.Mesh/generate_seabed_mesh.m,bottom ring/core producer,"waterline,bottom cfg,mirrored FS ring",mirrored outer ring plus adaptive 5-block structured infill,corner indices/Nx/Ny/Nr use round,full-domain producer
apply_rankine_outer_truncation/choose_endpoint_theta_count,Source Code/2.Mesh/apply_rankine_outer_truncation.m,endpoint count scheduler,"radius,chord target,explicit/common count",multiple-of-4 endpoint count; held-or-finer spacing,round-to-multiple-4 or ceil-to-finer,count multiple of four
apply_rankine_outer_truncation/prepare_horizontal_surface,Source Code/2.Mesh/apply_rankine_outer_truncation.m,radial/count scheduler,"legacy/final radius,radial target,theta counts",horizontal annulus ending at common wall count,ceil(extension/radialTarget),full-domain active truncation
apply_rankine_outer_truncation/gradual_ring_count,Source Code/2.Mesh/apply_rankine_outer_truncation.m,integer count scheduler,"legacy/final count,layer index",multiple-of-4 monotone intermediate counts,4*round(interpolated/4),count multiple of four
apply_rankine_outer_truncation/zipper_annulus,Source Code/2.Mesh/apply_rankine_outer_truncation.m,transition connector,"two ordered circular rings",conforming quad/triangle panels; no T-junction,fraction-order merge,ordered closed rings
apply_rankine_outer_truncation/build_frustum_wall,Source Code/2.Mesh/apply_rankine_outer_truncation.m,wall top/bottom ring consumer,"top/bottom rings,depth,slant target",equal-count structured FARFIELD frustum,round/ceil vertical layers,common equal count
generate_farfield_mesh,Source Code/2.Mesh/generate_farfield_mesh.m,legacy wall producer,"waterline nodes,Rout,Nz",equal waterline sector count at top/bottom,Nz exact; theta inherited from waterline,waterline sector count
