statusName,statusValue,evidence
TASK0_FINAL_REPORT_INTEGRITY,PASS_72_36_36,../Phase3_2_Artifacts/Phase3_2_Final_Report_Integrity.csv
QUALITY_METRIC_UNIT_TESTS,PASS_6_OF_6,Phase3_2A_Quality_Metric_Unit_Tests.csv
V4_QUALITY_MESH_RECONCILIATION,PASS_72_OF_72,Phase3_2A_V4_Quality_Reconciliation.csv
GENERATOR_CALL_CHAIN_AUDIT,PASS,Phase3_2A_Generator_Call_Chain.csv
FAIL_BEFORE_PANEL_DIAGNOSTICS,PASS,Phase3_2A_FailBefore_Panel_Diagnostics.csv
POLAR_TOPOLOGY_DEFAULT_MODE,LEGACY,read_config/get_polar_topology_mode
QUALITY_CONTROLLED_V2_IMPLEMENTATION,IMPLEMENTED_DEFAULT_OFF,explicit config mode and source diff
LEGACY_Q_ONLY_GEOMETRY_REGRESSION,PASS_EXACT_HASH_5_OF_5,Phase3_2A_Legacy_Regression.csv
ENDPOINT_PROTOTYPE_GEOMETRY,PASS_24_OF_24,Phase3_2A_Endpoint_Prototype_Quality.csv
V5_MESH_GEOMETRY_GATE,PASS_72_OF_72,Phase3_2A_V5_Mesh_Quality.csv
V5_MONOTONIC_REFINEMENT_FAMILY,PASS_6_OF_6_FREQUENCIES,Phase3_2A_V5_Control_Isolation.csv
LEGACY_BEM_BRIDGE_REGRESSION,PASS_MAX_REL_DIFF_4P28E13,Phase3_2A_BEM_Bridge_Smoke.csv
QUALITY_CONTROLLED_V2_BEM_BRIDGE,PASS,Phase3_2A_BEM_Bridge_Smoke.csv
READY_FOR_PHASE3_2B_SENTINEL,YES,all Phase 3.2A gates required for bridge passed
FORMAL_SWEEP,NOT_RUN_SCOPE,forbidden by Phase 3.2A scope
RESONANCE_SCAN,NOT_RUN_SCOPE,forbidden by Phase 3.2A scope
WAMIT_QUANTITATIVE_ATTRIBUTION,NOT_RUN_SCOPE,mesh remediation does not authorize Task 7
PHYSICAL_VALIDATION,PARTIAL,no independent physical benchmark added
READY_FOR_PRODUCTION,NO,no convergence/physical production closure
REVIEWER_BLOCKERS,0,Phase3_2A_Reviewer_Gate.csv
PHASE3_2A_OVERALL,PASS_WITH_LIMITATIONS,PHASE3_2A_POLAR_TOPOLOGY_REMEDIATION_CN.md
