scope,status,blocker_count,evidence,notes
omega_0p6_root_cause,RESOLVED,0,"Phase3_1B_Layer_Continuity_Ledger.csv; Phase3_1B_Local_Dense_Sweep.csv","Wide/coarse curvature appears at the potential layer but is dense-local continuous; the isolated 0.6 flag was coarse-frequency-grid aliasing."
radiation_lineage_and_extraction,RESOLVED,0,"Phase3_1B_Radiation_Quantity_Lineage.csv; Phase3_1B_Raw_F33_Complex_Force.csv","Phi3-to-F33-to-A33/B33 lineage is explicit; panel-force reconstruction closes near machine precision and extraction introduces no discontinuity."
frequency_local_discretization,RESOLVED,0,"Phase3_1B_Frequency_Local_Discretization_Ledger.csv; Verify_Phase3_1B_Final_Evidence.m","The 0.59/0.60/0.61 counts and discrete branches are identical; radii vary monotonically and frequency-local hash changes are not discrete jumps."
fixed_geometry_causality,RESOLVED,0,Phase3_1B_Fixed_Geometry_Comparison.csv,"One exact anchor geometry hash is retained and the fixed-geometry response remains continuous; frequency-local discretization is not causal."
classical_irregular_frequency_boundary,RESOLVED,0,"Run_Phase3_1B_Frequency_Anomaly_Audit.m; Phase3_1B_Layer_Continuity_Ledger.csv","No lid panel, extended-BIE, irregular-frequency suppression, or classical irregular-frequency attribution was introduced."
omega_1p4_rao3_classification,RESOLVED,0,Phase3_1B_RAO3_Denominator_Audit.csv,"The finite D3 minimum and RAO3 maximum coincide at 1.4 rad/s; complex and amplitude steps remain continuous, supporting PHYSICAL_RESONANCE."
continuity_gate_integrity,RESOLVED,0,"../Phase3_1_Artifacts/Phase3_1_Response_Continuity_Audit.csv; Phase3_1B_Before_After_Regression.csv","Preliminary failures remain recorded; dense adjudication changes only validation status and production A33/B33/RAO3 values are numerically unchanged."
production_diff_minimality,RESOLVED,0,"Phase3_1B_Before_After_Regression.csv; Phase3_1B_Production_Source_SHA256_After_Diagnostics.csv","No production numerical formula, ABC, WAMIT data, or production mesh topology was changed for the Phase 3.1B resolution."
formal_and_radius_regression,RESOLVED,0,"../Phase3_1_Artifacts/Phase3_1_Formal_PFull_Frequency_Sweep.csv; ../Phase3_1_Artifacts/Phase3_1_Outer_Radius_Convergence.csv; ../Phase3_1_Artifacts/Phase3_1_Frozen_Regression_Relative_Differences.csv","All 16 formal solves, direct conditioning/residual gates, frozen regression, and low/mid/high outer-radius checks pass."
checkpoint_and_harness_cleanup,RESOLVED,0,"Phase3_1B_Run_Fingerprint.csv; ../Phase3_1_Artifacts/Phase3_1_Checkpoint_Fingerprint.csv; Verify_Phase3_1B_Final_Evidence.m","Runner, 41-file production dependency, configuration, geometry-control, frequency-list, and evidence provenance checks forbid mismatched reuse."
untriggered_secondary_diagnostics,NON_BLOCKER,0,"Phase3_1B_Fixed_Geometry_Comparison.csv; ../Phase3_1_Artifacts/Phase3_1_Outer_Radius_Convergence.csv","Quadrature perturbation and truncated-domain mode tests were not triggered because neither remeshed nor fixed geometry retained a dense-local anomaly."
overall,RESOLVED,0,Verify_Phase3_1B_Final_Evidence.m,"Root-cause evidence is sufficient, the validation fix does not conceal a numerical anomaly, and no reviewer blocker remains."
