status_name,status_value,evidence
V5_MESH_REPRODUCIBILITY,PASS_18_OF_18,Phase3_2B_V5_Frozen_Mesh_Manifest.csv
GEOMETRY_VALIDITY,PASS_72_COMPONENT_ROWS_FROZEN,Phase3_2B_V5_Frozen_Mesh_Manifest.csv
RESOURCE_GATE,PASS_SERIAL_L3,Phase3_2B_Resource_Plan.csv
QUALITY_CONTROLLED_V2_DEFAULT,OFF_LEGACY_DEFAULT,Phase3_2B_Legacy_Regression.csv
LEGACY_GEOMETRY_REGRESSION,PASS_EXACT_HASH_START_AND_END,Phase3_2B_Legacy_Regression.csv
LEGACY_RESPONSE_REGRESSION,PASS_START_AND_END,Phase3_2B_Legacy_Regression.csv
SENTINEL_CLEAN_SOLVES,PASS_18_OF_18_CACHE_MISS,Phase3_2B_Sentinel_Response.csv
ALGEBRAIC_VALIDITY,PASS_18_OF_18,Phase3_2B_Condition_Residual.csv
SENTINEL_MESH_CONVERGENCE,FAIL_16_OF_24_MANDATORY,Phase3_2B_Sentinel_Convergence.csv
RESONANCE_CONVERGENCE,NOT_RUN_BLOCKED_SENTINEL_RESPONSE_FAIL,Phase3_2B_Resonance_Tracking.csv
FORMAL_MESH_CONVERGENCE,NOT_RUN_BLOCKED_SENTINEL_RESPONSE_FAIL,Phase3_2B_Formal_Convergence.csv
ASYMPTOTIC_RANGE_PROOF,NOT_DEMONSTRATED_OVERALL,Phase3_2B_Sentinel_Convergence.csv
PRODUCTION_MESH_CANDIDATE,NONE,sentinel FAIL prevents recommendation
PHYSICAL_VALIDATION,PARTIAL_NO_NEW_PHYSICAL_CLOSURE,no WAMIT attribution or independent physical benchmark
READY_FOR_PHASE3_3_WAMIT_ATTRIBUTION,NO,sentinel response gate failed
READY_FOR_PRODUCTION,NO,production default unchanged
REVIEWER_BLOCKERS,0,Phase3_2B_Reviewer_Gate.csv
PHASE3_2B_OVERALL,FAIL,PHASE3_2B_RESPONSE_CONVERGENCE_CN.md
